review,rating,date,bank,source,sentiment_label,sentiment_score,theme
thank you,5,2025-12-01,CBE,Google Play,POSITIVE,0.9998352527618408,User Interface & Experience
very good app,5,2025-12-01,CBE,Google Play,POSITIVE,0.9998675584793092,Transaction Performance
excellent,1,2025-12-01,CBE,Google Play,POSITIVE,0.9998434782028198,Feature Requests
good,5,2025-11-30,CBE,Google Play,POSITIVE,0.999816119670868,User Interface & Experience
CBE ይለያል።,5,2025-11-29,CBE,Google Play,POSITIVE,0.988647758960724,Transaction Performance
it's special for me,5,2025-11-29,CBE,Google Play,POSITIVE,0.9998202919960022,User Interface & Experience
Make it user friendly.,2,2025-11-29,CBE,Google Play,POSITIVE,0.9920620918273926,Customer Support
maaliif daddafee install gaafata,3,2025-11-28,CBE,Google Play,NEGATIVE,0.9875526428222656,Account Access Issues
good app,5,2025-11-28,CBE,Google Play,POSITIVE,0.9998493194580078,Transaction Performance
This application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,2025-11-27,CBE,Google Play,POSITIVE,0.998467981815338,Customer Support
why didn't work this app?,1,2025-11-27,CBE,Google Play,NEGATIVE,0.9991324543952942,Customer Support
The app makes our life easier. Thank you CBE!,5,2025-11-27,CBE,Google Play,POSITIVE,0.9996963739395142,User Interface & Experience
this app very bad 👎,1,2025-11-27,CBE,Google Play,NEGATIVE,0.9997968077659608,Feature Requests
the most advanced app. but how to stay safe?,5,2025-11-27,CBE,Google Play,NEGATIVE,0.9565094709396362,Customer Support
Good application,4,2025-11-27,CBE,Google Play,POSITIVE,0.999854564666748,User Interface & Experience
It is nice app,5,2025-11-26,CBE,Google Play,POSITIVE,0.9998478889465332,Account Access Issues
best,5,2025-11-25,CBE,Google Play,POSITIVE,0.9997941851615906,Feature Requests
"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,2025-11-25,CBE,Google Play,NEGATIVE,0.9993435740470886,Transaction Performance
thanks blc this app help me to use all time,5,2025-11-24,CBE,Google Play,POSITIVE,0.997163951396942,Customer Support
why we can't send money to other people telebirr wallets??,1,2025-11-24,CBE,Google Play,NEGATIVE,0.9984826445579528,Account Access Issues
አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23,CBE,Google Play,NEGATIVE,0.9856644868850708,Transaction Performance
በጣም ቀላልና ምቹ ነው።,5,2025-11-23,CBE,Google Play,NEGATIVE,0.8832131028175354,Account Access Issues
wow,5,2025-11-23,CBE,Google Play,POSITIVE,0.999592125415802,Transaction Performance
nice,5,2025-11-22,CBE,Google Play,POSITIVE,0.9998552799224854,Account Access Issues
you are the reason why i got ye chogara himem,1,2025-11-22,CBE,Google Play,NEGATIVE,0.9818922877311708,Transaction Performance
it is so smart app i recommend it for everyone,5,2025-11-22,CBE,Google Play,POSITIVE,0.9998483657836914,User Interface & Experience
ዳጊ,5,2025-11-21,CBE,Google Play,NEGATIVE,0.6970565915107727,Account Access Issues
absolutely right,5,2025-11-21,CBE,Google Play,POSITIVE,0.9998525381088256,Transaction Performance
mid application it's so annoying,3,2025-11-20,CBE,Google Play,NEGATIVE,0.9997883439064026,User Interface & Experience
I used morethan one year,4,2025-11-20,CBE,Google Play,NEGATIVE,0.9802079796791076,Feature Requests
no word can explane about this app it is nice 👍👍👍👍👍,5,2025-11-20,CBE,Google Play,NEGATIVE,0.9920698404312134,Account Access Issues
"It's great app,I love this app",5,2025-11-20,CBE,Google Play,POSITIVE,0.9998750686645508,Customer Support
Nice,5,2025-11-19,CBE,Google Play,POSITIVE,0.9998552799224854,Account Access Issues
suckkkks,1,2025-11-19,CBE,Google Play,NEGATIVE,0.9737536311149596,Account Access Issues
not allowing to transfer and showing current statement updates.,1,2025-11-19,CBE,Google Play,NEGATIVE,0.9991471767425536,Transaction Performance
I love you this app,5,2025-11-19,CBE,Google Play,POSITIVE,0.9998642206192015,Customer Support
"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,2025-11-19,CBE,Google Play,POSITIVE,0.9993645548820496,User Interface & Experience
make life easy,5,2025-11-19,CBE,Google Play,POSITIVE,0.999527096748352,User Interface & Experience
securr,5,2025-11-19,CBE,Google Play,NEGATIVE,0.989194393157959,Account Access Issues
My most optional bank,5,2025-11-17,CBE,Google Play,POSITIVE,0.7555266618728638,User Interface & Experience
5 star,5,2025-11-17,CBE,Google Play,POSITIVE,0.9964116215705872,Account Access Issues
it is fantastic app.,5,2025-11-16,CBE,Google Play,POSITIVE,0.9998733997344972,Customer Support
sifen,5,2025-11-16,CBE,Google Play,NEGATIVE,0.8473550081253052,Account Access Issues
i like this√,4,2025-11-16,CBE,Google Play,POSITIVE,0.9998555183410645,Customer Support
Ok,3,2025-11-16,CBE,Google Play,POSITIVE,0.9997851252555848,Feature Requests
ጥሩ App ነዉ ። የኔ የግል አስተያየት- Update ወይንም cache cleaning app ሲደረግ ለምንድነዉ ደግመን login ስናደርግ Restricted ሚያደርገዉ ቢስተካከል እንደ ሀሳብ ጥሩ ነዉ። በዛላይ ድጋሚ አክቲቬት ለማስደረግ ከፍለን ..,5,2025-11-15,CBE,Google Play,NEGATIVE,0.9916301369667052,Transaction Performance
"Seriously, what’s going on with this app? The ""Pay to Beneficiary"" option is completely disabled for Android users, yet iOS users get full access without restrictions. Why are Android users being treated like second class customers? It’s the same app, the same service, but clearly not the same experience. This kind of platform bias is unacceptable, either give everyone the same features or be transparent about why you’re limiting functionality. Right now, it just feels unfair and frustrating.",1,2025-11-15,CBE,Google Play,NEGATIVE,0.9996232986450196,Customer Support
Like,5,2025-11-13,CBE,Google Play,POSITIVE,0.9910564422607422,Customer Support
Nice and very useful app i like it!,5,2025-11-13,CBE,Google Play,POSITIVE,0.999858856201172,Transaction Performance
Good,5,2025-11-13,CBE,Google Play,POSITIVE,0.999816119670868,User Interface & Experience
smart app,4,2025-11-12,CBE,Google Play,POSITIVE,0.999789297580719,User Interface & Experience
good App,5,2025-11-12,CBE,Google Play,POSITIVE,0.9998493194580078,Transaction Performance
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-11-12,CBE,Google Play,NEGATIVE,0.992516815662384,Customer Support
ok,5,2025-11-11,CBE,Google Play,POSITIVE,0.9997851252555848,Feature Requests
cbe is my choice,4,2025-11-11,CBE,Google Play,POSITIVE,0.9987378716468812,Account Access Issues
